sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;wheelSpeed;
1562328525;604378;1562328525;604393;1562328525;604268;0;
1562328525;614690;1562328525;614702;1562328525;614588;0;
1562328525;624590;1562328525;624602;1562328525;624505;0;
1562328525;634598;1562328525;634608;1562328525;634524;0;
1562328525;644635;1562328525;644646;1562328525;644545;0;
1562328525;654428;1562328525;654435;1562328525;654363;0;
1562328525;664662;1562328525;664673;1562328525;664581;0;
1562328525;674579;1562328525;674590;1562328525;674499;0;
1562328525;684282;1562328525;684291;1562328525;684218;0;
1562328525;694608;1562328525;694617;1562328525;694537;0;
1562328525;704622;1562328525;704631;1562328525;704556;0;
1562328525;714644;1562328525;714653;1562328525;714575;0;
1562328525;724610;1562328525;724628;1562328525;724493;0;
1562328525;734494;1562328525;734503;1562328525;734413;0;
1562328525;744600;1562328525;744608;1562328525;744531;0;
1562328525;754620;1562328525;754629;1562328525;754549;0;
1562328525;764337;1562328525;764346;1562328525;764270;0;
1562328525;774559;1562328525;774566;1562328525;774487;0;
1562328525;784588;1562328525;784595;1562328525;784505;0;
1562328525;794591;1562328525;794599;1562328525;794525;0;
1562328525;804608;1562328525;804615;1562328525;804544;0;
1562328525;814440;1562328525;814446;1562328525;814362;0;
1562328525;824544;1562328525;824551;1562328525;824481;0;
1562328525;834570;1562328525;834578;1562328525;834499;0;
1562328525;844276;1562328525;844282;1562328525;844218;0;
1562328525;854631;1562328525;854638;1562328525;854537;0;
1562328525;864636;1562328525;864644;1562328525;864556;0;
1562328525;874653;1562328525;874660;1562328525;874575;0;
1562328525;884556;1562328525;884563;1562328525;884493;0;
1562328525;894496;1562328525;894505;1562328525;894413;0;
1562328525;904595;1562328525;904602;1562328525;904531;0;
1562328525;914617;1562328525;914624;1562328525;914550;0;
1562328525;924329;1562328525;924336;1562328525;924268;0;
1562328525;934548;1562328525;934555;1562328525;934487;0;
1562328525;944566;1562328525;944573;1562328525;944506;0;
1562328525;954586;1562328525;954593;1562328525;954525;0;
1562328525;964600;1562328525;964606;1562328525;964544;0;
1562328525;974426;1562328525;974433;1562328525;974362;0;
1562328525;984547;1562328525;984554;1562328525;984481;0;
1562328525;994585;1562328525;994597;1562328525;994499;0;
1562328526;4295;1562328526;4305;1562328526;4219;0;
1562328526;14630;1562328526;14640;1562328526;14537;0;
1562328526;24629;1562328526;24639;1562328526;24556;0;
1562328526;34637;1562328526;34644;1562328526;34575;0;
1562328526;44552;1562328526;44559;1562328526;44494;0;
1562328526;54502;1562328526;54510;1562328526;54412;0;
1562328526;64602;1562328526;64613;1562328526;64531;0;
1562328526;74632;1562328526;74644;1562328526;74550;0;
1562328526;84353;1562328526;84364;1562328526;84269;0;
1562328526;94559;1562328526;94569;1562328526;94487;0;
1562328526;104569;1562328526;104576;1562328526;104506;0;
1562328526;114648;1562328526;114660;1562328526;114525;0;
1562328526;124631;1562328526;124639;1562328526;124544;0;
1562328526;134464;1562328526;134474;1562328526;134363;0;
1562328526;144575;1562328526;144586;1562328526;144481;0;
1562328526;154590;1562328526;154599;1562328526;154500;0;
1562328526;164305;1562328526;164315;1562328526;164218;0;
1562328526;174654;1562328526;174669;1562328526;174537;0;
1562328526;184673;1562328526;184685;1562328526;184556;0;
1562328526;194575;1562328526;194585;1562328526;194475;0;
1562328526;204579;1562328526;204590;1562328526;204494;0;
1562328526;214523;1562328526;214533;1562328526;214412;0;
1562328526;224626;1562328526;224637;1562328526;224531;0;
1562328526;234623;1562328526;234633;1562328526;234550;0;
1562328526;244360;1562328526;244371;1562328526;244269;0;
1562328526;254588;1562328526;254599;1562328526;254487;0;
1562328526;264655;1562328526;264672;1562328526;264507;0;
1562328526;274777;1562328526;274794;1562328526;274726;0;
1562328526;284659;1562328526;284676;1562328526;284544;0;
1562328526;294461;1562328526;294470;1562328526;294364;0;
1562328526;304813;1562328526;304823;1562328526;304781;0;
1562328526;314627;1562328526;314643;1562328526;314499;0;
1562328526;324353;1562328526;324369;1562328526;324218;0;
1562328526;333841;1562328526;333853;1562328526;333736;0;
1562328526;344673;1562328526;344685;1562328526;344556;0;
1562328526;354565;1562328526;354574;1562328526;354477;0;
1562328526;363898;1562328526;363908;1562328526;363792;0;
1562328526;374507;1562328526;374518;1562328526;374413;0;
1562328526;384628;1562328526;384640;1562328526;384533;0;
1562328526;393948;1562328526;393958;1562328526;393849;0;
1562328526;404152;1562328526;404162;1562328526;404068;0;
1562328526;414592;1562328526;414603;1562328526;414489;0;
1562328526;423981;1562328526;423993;1562328526;423905;0;
1562328526;434653;1562328526;434670;1562328526;434525;0;
1562328526;444634;1562328526;444646;1562328526;444544;0;
1562328526;454503;1562328526;454521;1562328526;454363;0;
1562328526;464624;1562328526;464641;1562328526;464481;0;
1562328526;474582;1562328526;474594;1562328526;474500;0;
1562328526;484395;1562328526;484406;1562328526;484319;0;
1562328526;494617;1562328526;494626;1562328526;494537;0;
1562328526;504631;1562328526;504642;1562328526;504556;0;
1562328526;514257;1562328526;514267;1562328526;514174;0;
1562328526;524610;1562328526;524627;1562328526;524493;0;
1562328526;534541;1562328526;534564;1562328526;534412;0;
1562328526;544329;1562328526;544341;1562328526;544232;0;
1562328526;554674;1562328526;554693;1562328526;554550;0;
1562328526;564154;1562328526;564167;1562328526;564068;0;
1562328526;574412;1562328526;574430;1562328526;574287;0;
1562328526;584602;1562328526;584614;1562328526;584506;0;
1562328526;594605;1562328526;594616;1562328526;594525;0;
1562328526;604462;1562328526;604480;1562328526;604344;0;
1562328526;614459;1562328526;614475;1562328526;614363;0;
1562328526;624557;1562328526;624567;1562328526;624481;0;
1562328526;634476;1562328526;634486;1562328526;634400;0;
1562328526;644291;1562328526;644302;1562328526;644219;0;
1562328526;654616;1562328526;654627;1562328526;654537;0;
1562328526;664534;1562328526;664544;1562328526;664456;0;
1562328526;674550;1562328526;674560;1562328526;674475;0;
1562328526;684566;1562328526;684577;1562328526;684494;0;
1562328526;694488;1562328526;694499;1562328526;694412;0;
1562328526;704606;1562328526;704618;1562328526;704531;0;
1562328526;714651;1562328526;714663;1562328526;714550;0;
1562328526;724159;1562328526;724169;1562328526;724069;0;
1562328526;734567;1562328526;734578;1562328526;734487;0;
1562328526;744634;1562328526;744651;1562328526;744506;0;
1562328526;754626;1562328526;754639;1562328526;754525;0;
1562328526;764618;1562328526;764628;1562328526;764544;0;
1562328526;774449;1562328526;774459;1562328526;774365;0;
1562328526;784589;1562328526;784599;1562328526;784481;0;
1562328526;794595;1562328526;794606;1562328526;794500;0;
1562328526;804304;1562328526;804315;1562328526;804219;0;
1562328526;814623;1562328526;814633;1562328526;814538;0;
1562328526;824591;1562328526;824609;1562328526;824456;0;
1562328526;834587;1562328526;834604;1562328526;834475;0;
1562328526;844620;1562328526;844637;1562328526;844495;0;
1562328526;854552;1562328526;854569;1562328526;854413;0;
1562328526;864621;1562328526;864633;1562328526;864532;0;
1562328526;874660;1562328526;874677;1562328526;874550;0;
1562328526;884207;1562328526;884224;1562328526;884068;0;
1562328526;894586;1562328526;894598;1562328526;894487;0;
1562328526;904589;1562328526;904599;1562328526;904506;0;
1562328526;914633;1562328526;914643;1562328526;914525;0;
1562328526;924628;1562328526;924638;1562328526;924544;0;
1562328526;934441;1562328526;934452;1562328526;934363;0;
1562328526;944618;1562328526;944636;1562328526;944483;0;
1562328526;954603;1562328526;954615;1562328526;954500;0;
1562328526;964294;1562328526;964305;1562328526;964219;0;
1562328526;974632;1562328526;974642;1562328526;974539;0;
1562328526;984536;1562328526;984546;1562328526;984456;0;
1562328526;994571;1562328526;994581;1562328526;994475;0;
1562328527;4567;1562328527;4577;1562328527;4494;0;
1562328527;14439;1562328527;14457;1562328527;14312;0;
1562328527;24667;1562328527;24684;1562328527;24532;0;
1562328527;34635;1562328527;34647;1562328527;34550;0;
1562328527;44155;1562328527;44167;1562328527;44069;0;
1562328527;54567;1562328527;54577;1562328527;54487;0;
1562328527;64585;1562328527;64596;1562328527;64506;0;
1562328527;74607;1562328527;74619;1562328527;74525;0;
1562328527;84660;1562328527;84678;1562328527;84544;0;
1562328527;94452;1562328527;94464;1562328527;94362;0;
1562328527;104556;1562328527;104566;1562328527;104483;0;
1562328527;114581;1562328527;114591;1562328527;114500;0;
1562328527;124334;1562328527;124351;1562328527;124218;0;
1562328527;134620;1562328527;134631;1562328527;134537;0;
1562328527;144539;1562328527;144549;1562328527;144456;0;
1562328527;154550;1562328527;154560;1562328527;154475;0;
1562328527;164566;1562328527;164576;1562328527;164494;0;
1562328527;174437;1562328527;174454;1562328527;174313;0;
1562328527;184628;1562328527;184640;1562328527;184531;0;
1562328527;194526;1562328527;194536;1562328527;194450;0;
1562328527;204143;1562328527;204153;1562328527;204069;0;
1562328527;214611;1562328527;214629;1562328527;214487;0;
1562328527;224591;1562328527;224603;1562328527;224506;0;
1562328527;234609;1562328527;234621;1562328527;234525;0;
1562328527;244517;1562328527;244527;1562328527;244444;0;
1562328527;254439;1562328527;254449;1562328527;254364;0;
1562328527;264598;1562328527;264616;1562328527;264481;0;
1562328527;274586;1562328527;274597;1562328527;274500;0;
