sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1562328529;670805;1562328529;670836;1562328529;670792;57.709209572;11.946685851;
1562328529;711028;1562328529;711065;1562328529;711014;57.70920962;11.946685811;
1562328529;751218;1562328529;751247;1562328529;751205;57.70920962;11.946685811;
1562328529;791403;1562328529;791437;1562328529;791388;57.709209667;11.946685775;
1562328529;831613;1562328529;831645;1562328529;831601;57.709209667;11.946685775;
1562328529;871800;1562328529;871831;1562328529;871786;57.709209715;11.946685735;
1562328529;912020;1562328529;912042;1562328529;912010;57.709209715;11.946685735;
1562328529;952178;1562328529;952198;1562328529;952171;57.709209762;11.946685693;
1562328529;992345;1562328529;992365;1562328529;992337;57.709209809;11.946685645;
1562328530;32528;1562328530;32547;1562328530;32520;57.709209809;11.946685645;
1562328530;72695;1562328530;72712;1562328530;72687;57.709209809;11.946685645;
1562328530;112853;1562328530;112878;1562328530;112843;57.709209857;11.946685603;
1562328530;153029;1562328530;153055;1562328530;153018;57.709209857;11.946685603;
1562328530;193202;1562328530;193231;1562328530;193191;57.709209904;11.946685563;
1562328530;233421;1562328530;233444;1562328530;233411;57.709209904;11.946685563;
1562328530;273604;1562328530;273618;1562328530;273599;57.709210239;11.946685254;
1562328530;313770;1562328530;313817;1562328530;313757;57.709210239;11.946685254;
1562328530;354007;1562328530;354040;1562328530;353994;57.709210287;11.94668521;
1562328530;394195;1562328530;394227;1562328530;394182;57.709210287;11.94668521;
1562328530;434387;1562328530;434403;1562328530;434381;57.709210336;11.946685166;
1562328530;474542;1562328530;474556;1562328530;474537;57.709210336;11.946685166;
1562328530;514711;1562328530;514744;1562328530;514696;57.709210384;11.946685122;
1562328530;554920;1562328530;554943;1562328530;554911;57.709210432;11.946685077;
1562328530;595087;1562328530;595110;1562328530;595078;57.709210432;11.946685077;
1562328530;635249;1562328530;635266;1562328530;635243;57.709210432;11.946685077;
1562328530;675425;1562328530;675462;1562328530;675410;57.709210432;11.946685077;
1562328530;715646;1562328530;715667;1562328530;715637;57.709210432;11.946685077;
1562328530;755807;1562328530;755833;1562328530;755794;57.709210821;11.946684732;
1562328530;795979;1562328530;796004;1562328530;795969;57.709210821;11.946684732;
1562328530;836147;1562328530;836180;1562328530;836132;57.709210869;11.946684687;
1562328530;876368;1562328530;876405;1562328530;876350;57.709210918;11.946684642;
1562328530;916599;1562328530;916632;1562328530;916585;57.709210918;11.946684642;
1562328530;956785;1562328530;956810;1562328530;956773;57.709210967;11.946684597;
1562328530;996937;1562328530;996950;1562328530;996931;57.709210967;11.946684597;
1562328531;37078;1562328531;37090;1562328531;37073;57.709211016;11.946684554;
1562328531;77233;1562328531;77264;1562328531;77220;57.709211016;11.946684554;
1562328531;117418;1562328531;117446;1562328531;117404;57.709211065;11.94668451;
1562328531;157581;1562328531;157596;1562328531;157576;57.709211065;11.94668451;
1562328531;197732;1562328531;197746;1562328531;197727;57.709211065;11.94668451;
1562328531;237872;1562328531;237885;1562328531;237867;57.709211261;11.946684329;
1562328531;278022;1562328531;278059;1562328531;278010;57.709211261;11.946684329;
1562328531;318231;1562328531;318257;1562328531;318220;57.709211261;11.946684329;
1562328531;358392;1562328531;358418;1562328531;358380;57.709211311;11.946684284;
1562328531;398566;1562328531;398587;1562328531;398558;57.709211311;11.946684284;
1562328531;438724;1562328531;438742;1562328531;438716;57.709211459;11.946684146;
1562328531;478893;1562328531;478920;1562328531;478880;57.709211459;11.946684146;
1562328531;519071;1562328531;519093;1562328531;519062;57.709211459;11.946684146;
1562328531;559239;1562328531;559267;1562328531;559229;57.709211706;11.946683926;
1562328531;599434;1562328531;599451;1562328531;599428;57.709211706;11.946683926;
1562328531;639581;1562328531;639592;1562328531;639576;57.709211757;11.946683889;
1562328531;679716;1562328531;679742;1562328531;679706;57.709211757;11.946683889;
1562328531;719869;1562328531;719884;1562328531;719863;57.709211807;11.946683845;
1562328531;760012;1562328531;760026;1562328531;760007;57.709212109;11.946683576;
1562328531;800138;1562328531;800148;1562328531;800135;57.709212109;11.946683576;
1562328531;840264;1562328531;840275;1562328531;840260;57.70921216;11.94668353;
1562328531;880576;1562328531;880589;1562328531;880396;57.70921216;11.94668353;
1562328531;920730;1562328531;920759;1562328531;920720;57.70921216;11.94668353;
1562328531;960913;1562328531;960934;1562328531;960906;57.70921221;11.946683485;
1562328532;1074;1562328532;1106;1562328532;1064;57.709212261;11.946683428;
1562328532;41275;1562328532;41296;1562328532;41268;57.709212261;11.946683428;
1562328532;81457;1562328532;81497;1562328532;81446;57.709212311;11.946683381;
1562328532;121655;1562328532;121682;1562328532;121644;57.709212311;11.946683381;
1562328532;161826;1562328532;161848;1562328532;161818;57.709212362;11.946683325;
1562328532;201979;1562328532;201995;1562328532;201972;57.709212362;11.946683325;
1562328532;242122;1562328532;242149;1562328532;242112;57.709212566;11.946683132;
1562328532;282320;1562328532;282351;1562328532;282310;57.709212566;11.946683132;
1562328532;322501;1562328532;322523;1562328532;322493;57.709212617;11.946683083;
1562328532;362695;1562328532;362713;1562328532;362689;57.709212617;11.946683083;
1562328532;402871;1562328532;402886;1562328532;402866;57.709212668;11.946683035;
1562328532;443028;1562328532;443056;1562328532;443018;57.709213027;11.946682717;
1562328532;483399;1562328532;483425;1562328532;483258;57.709213027;11.946682717;
1562328532;523621;1562328532;523646;1562328532;523611;57.709213027;11.946682717;
1562328532;563779;1562328532;563806;1562328532;563771;57.709213079;11.94668267;
1562328532;603946;1562328532;603973;1562328532;603934;57.709213131;11.946682626;
1562328532;644153;1562328532;644192;1562328532;644136;57.709213131;11.946682626;
1562328532;684369;1562328532;684401;1562328532;684356;57.709213182;11.946682579;
1562328532;724533;1562328532;724558;1562328532;724523;57.709213182;11.946682579;
1562328532;764694;1562328532;764708;1562328532;764688;57.709213234;11.946682532;
1562328532;804822;1562328532;804835;1562328532;804817;57.709213234;11.946682532;
1562328532;844957;1562328532;844983;1562328532;844947;57.709213286;11.946682477;
1562328532;885127;1562328532;885148;1562328532;885116;57.709213286;11.946682477;
1562328532;925267;1562328532;925279;1562328532;925262;57.709213337;11.946682429;
1562328532;965386;1562328532;965398;1562328532;965380;57.709213337;11.946682429;
1562328533;5505;1562328533;5516;1562328533;5499;57.709213493;11.946682277;
1562328533;45627;1562328533;45639;1562328533;45622;57.709213493;11.946682277;
1562328533;86036;1562328533;86053;1562328533;85751;57.709213493;11.946682277;
1562328533;126196;1562328533;126212;1562328533;126189;57.709213493;11.946682277;
1562328533;166338;1562328533;166365;1562328533;166328;57.709213964;11.946681841;
1562328533;206527;1562328533;206549;1562328533;206518;57.709213964;11.946681841;
1562328533;246677;1562328533;246698;1562328533;246669;57.709214016;11.946681792;
1562328533;286834;1562328533;286862;1562328533;286823;57.709214016;11.946681792;
1562328533;327013;1562328533;327048;1562328533;327002;57.709214069;11.946681742;
1562328533;367301;1562328533;367323;1562328533;367293;57.709214069;11.946681742;
1562328533;407488;1562328533;407503;1562328533;407483;57.709214122;11.946681693;
1562328533;447643;1562328533;447678;1562328533;447630;57.709214122;11.946681693;
1562328533;487858;1562328533;487877;1562328533;487850;57.709214175;11.946681646;
1562328533;528014;1562328533;528040;1562328533;528008;57.709214228;11.946681598;
1562328533;568194;1562328533;568213;1562328533;568187;57.709214228;11.946681598;
1562328533;608340;1562328533;608362;1562328533;608334;57.709214281;11.946681548;
1562328533;648516;1562328533;648532;1562328533;648512;57.709214281;11.946681548;
1562328533;688682;1562328533;688708;1562328533;688674;57.709214281;11.946681548;
1562328533;728852;1562328533;728871;1562328533;728845;57.709214281;11.946681548;
1562328533;769008;1562328533;769027;1562328533;769001;57.709214441;11.9466814;
1562328533;809171;1562328533;809201;1562328533;809160;57.709214441;11.9466814;
1562328533;849339;1562328533;849363;1562328533;849330;57.709214441;11.9466814;
1562328533;889496;1562328533;889522;1562328533;889487;57.709214923;11.94668095;
1562328533;929650;1562328533;929678;1562328533;929641;57.709214923;11.94668095;
1562328533;969830;1562328533;969843;1562328533;969825;57.709214977;11.946680898;
1562328534;9980;1562328534;10013;1562328534;9969;57.709215031;11.946680848;
1562328534;50208;1562328534;50232;1562328534;50199;57.709215031;11.946680848;
1562328534;90364;1562328534;90384;1562328534;90356;57.709215085;11.946680797;
1562328534;130547;1562328534;130570;1562328534;130540;57.709215085;11.946680797;
1562328534;170740;1562328534;170755;1562328534;170735;57.709215139;11.946680746;
1562328534;210901;1562328534;210926;1562328534;210890;57.709215139;11.946680746;
1562328534;251073;1562328534;251090;1562328534;251066;57.709215194;11.946680695;
1562328534;291243;1562328534;291273;1562328534;291233;57.709215194;11.946680695;
1562328534;331462;1562328534;331484;1562328534;331454;57.709215194;11.946680695;
1562328534;371647;1562328534;371671;1562328534;371638;57.709215248;11.946680644;
1562328534;411842;1562328534;411868;1562328534;411832;57.709215302;11.946680593;
1562328534;452012;1562328534;452033;1562328534;452003;57.709215302;11.946680593;
1562328534;492176;1562328534;492196;1562328534;492169;57.709215302;11.946680593;
1562328534;532334;1562328534;532350;1562328534;532328;57.709215302;11.946680593;
1562328534;572484;1562328534;572497;1562328534;572480;57.709215904;11.946680031;
1562328534;612639;1562328534;612666;1562328534;612628;57.709215904;11.946680031;
1562328534;652813;1562328534;652832;1562328534;652805;57.70921596;11.94667998;
1562328534;692974;1562328534;692997;1562328534;692967;57.70921596;11.94667998;
1562328534;733157;1562328534;733174;1562328534;733152;57.709216015;11.946679928;
1562328534;773300;1562328534;773315;1562328534;773294;57.709216015;11.946679928;
1562328534;813443;1562328534;813475;1562328534;813430;57.70921607;11.946679877;
1562328534;853645;1562328534;853658;1562328534;853640;57.709216126;11.946679826;
1562328534;893811;1562328534;893829;1562328534;893781;57.709216126;11.946679826;
1562328534;933959;1562328534;933984;1562328534;933950;57.709216126;11.946679826;
1562328534;974155;1562328534;974184;1562328534;974144;57.709216181;11.946679774;
1562328535;14334;1562328535;14355;1562328535;14325;57.709216181;11.946679774;
1562328535;54503;1562328535;54532;1562328535;54492;57.709216236;11.946679722;
1562328535;94718;1562328535;94748;1562328535;94708;57.709216236;11.946679722;
1562328535;134922;1562328535;134944;1562328535;134913;57.709216292;11.94667967;
1562328535;175119;1562328535;175137;1562328535;175111;57.709216292;11.94667967;
1562328535;215318;1562328535;215352;1562328535;215304;57.709216292;11.94667967;
1562328535;255537;1562328535;255566;1562328535;255524;57.70921674;11.946679257;
1562328535;295734;1562328535;295754;1562328535;295728;57.70921674;11.946679257;
1562328535;335914;1562328535;335936;1562328535;335906;57.709216796;11.946679205;
1562328535;376105;1562328535;376130;1562328535;376096;57.709216796;11.946679205;
1562328535;416301;1562328535;416317;1562328535;416295;57.709216852;11.946679154;
1562328535;456478;1562328535;456493;1562328535;456471;57.709216852;11.946679154;
1562328535;496663;1562328535;496677;1562328535;496650;57.709216909;11.946679101;
1562328535;536805;1562328535;536825;1562328535;536798;57.709216909;11.946679101;
1562328535;576990;1562328535;577036;1562328535;576971;57.709216966;11.946679049;
1562328535;617258;1562328535;617286;1562328535;617248;57.709216966;11.946679049;
1562328535;657441;1562328535;657465;1562328535;657433;57.709217022;11.946678997;
1562328535;697600;1562328535;697621;1562328535;697593;57.709217365;11.946678684;
1562328535;737754;1562328535;737768;1562328535;737750;57.709217365;11.946678684;
1562328535;777902;1562328535;777931;1562328535;777892;57.709217422;11.946678632;
1562328535;818075;1562328535;818092;1562328535;818069;57.709217422;11.946678632;
1562328535;858244;1562328535;858268;1562328535;858235;57.70921748;11.946678578;
1562328535;898409;1562328535;898422;1562328535;898404;57.70921748;11.946678578;
1562328535;938541;1562328535;938555;1562328535;938537;57.709217537;11.946678525;
1562328535;978682;1562328535;978712;1562328535;978672;57.709217595;11.946678474;
