sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;accelerationX;accelerationY;accelerationZ;
1562328525;164400;1562328525;164418;1562328524;417403;-0.37667;-0.04120282;-9.810774;
1562328525;207760;1562328525;207773;1562328524;422403;-0.3971614;-0.05687304;-9.812368;
1562328525;207821;1562328525;207832;1562328524;427403;-0.3799457;-0.05809305;-9.812508;
1562328525;207871;1562328525;207882;1562328524;432403;-0.3860116;-0.06480776;-9.81972;
1562328525;207917;1562328525;207928;1562328524;437403;-0.3822361;-0.06859337;-9.817896;
1562328525;207963;1562328525;207973;1562328524;442403;-0.3901159;-0.06641813;-9.820125;
1562328525;208010;1562328525;208020;1562328524;447403;-0.382084;-0.07476926;-9.804842;
1562328525;250365;1562328525;250385;1562328524;452403;-0.3843707;-0.06900341;-9.801426;
1562328525;250444;1562328525;250462;1562328524;457403;-0.3886878;-0.06681517;-9.806065;
1562328525;250547;1562328525;250565;1562328524;462403;-0.3898028;-0.07751654;-9.794277;
1562328525;250622;1562328525;250639;1562328524;467403;-0.3783129;-0.0676823;-9.799853;
1562328525;294035;1562328525;294051;1562328524;472403;-0.3897851;-0.08169549;-9.805743;
1562328525;294113;1562328525;294133;1562328524;477403;-0.4139538;-0.07504795;-9.801341;
1562328525;294194;1562328525;294215;1562328524;482403;-0.4126907;-0.08649722;-9.790374;
1562328525;294276;1562328525;294297;1562328524;487403;-0.4142162;-0.08138089;-9.792719;
1562328525;336615;1562328525;336628;1562328524;492403;-0.4199303;-0.06541749;-9.796783;
1562328525;336666;1562328525;336678;1562328524;497403;-0.4211622;-0.0728203;-9.796727;
1562328525;336714;1562328525;336726;1562328524;502403;-0.4178424;-0.04398954;-9.803674;
1562328525;336762;1562328525;336774;1562328524;507403;-0.4312951;-0.04727941;-9.79394;
1562328525;336813;1562328525;336825;1562328524;512403;-0.4323306;-0.0476448;-9.800716;
1562328525;380179;1562328525;380187;1562328524;517403;-0.4438293;-0.04049612;-9.809583;
1562328525;380224;1562328525;380233;1562328524;522403;-0.4355755;-0.03992773;-9.813745;
1562328525;380268;1562328525;380276;1562328524;527403;-0.4348332;-0.02607268;-9.808343;
1562328525;380317;1562328525;380325;1562328524;532403;-0.4377883;-0.02315907;-9.812284;
1562328525;422588;1562328525;422596;1562328524;537403;-0.4328765;-0.0387812;-9.81647;
1562328525;422634;1562328525;422642;1562328524;542403;-0.4306182;-0.04008716;-9.807083;
1562328525;422678;1562328525;422687;1562328524;547403;-0.4218213;-0.03685179;-9.807173;
1562328525;422724;1562328525;422733;1562328524;552403;-0.4167552;-0.04551931;-9.801469;
1562328525;422769;1562328525;422778;1562328524;557403;-0.4110467;-0.03535578;-9.801456;
1562328525;422813;1562328525;422822;1562328524;562403;-0.4168348;-0.0463053;-9.794798;
1562328525;466099;1562328525;466106;1562328524;567403;-0.4103422;-0.05222818;-9.79307;
1562328525;466144;1562328525;466153;1562328524;572403;-0.3717091;-0.06747914;-9.809505;
1562328525;466190;1562328525;466198;1562328524;577403;-0.3716726;-0.08268473;-9.809926;
1562328525;466234;1562328525;466244;1562328524;582403;-0.3742697;-0.07380939;-9.817769;
1562328525;508573;1562328525;508594;1562328524;587403;-0.3874393;-0.08011354;-9.82563;
1562328525;508646;1562328525;508665;1562328524;592403;-0.3956108;-0.09584691;-9.809516;
1562328525;508718;1562328525;508736;1562328524;597403;-0.3915682;-0.08259731;-9.798243;
1562328525;508789;1562328525;508807;1562328524;602403;-0.397832;-0.07159796;-9.789528;
1562328525;508863;1562328525;508881;1562328524;607403;-0.400607;-0.06322868;-9.78519;
1562328525;508933;1562328525;508952;1562328524;612403;-0.4071008;-0.06680102;-9.778181;
1562328525;509006;1562328525;509024;1562328524;617403;-0.404045;-0.066715;-9.775285;
1562328525;552337;1562328525;552346;1562328524;622403;-0.4233397;-0.05938397;-9.774653;
1562328525;552388;1562328525;552398;1562328524;627403;-0.4257631;-0.05439462;-9.785262;
1562328525;552433;1562328525;552443;1562328524;632403;-0.4135924;-0.05161346;-9.794603;
1562328525;552478;1562328525;552488;1562328524;637403;-0.4345976;-0.0492411;-9.801722;
1562328525;594783;1562328525;594793;1562328524;642403;-0.440002;-0.03756616;-9.806889;
1562328525;594828;1562328525;594839;1562328524;647403;-0.4389466;-0.04106085;-9.819967;
1562328525;594874;1562328525;594884;1562328524;652403;-0.4296352;-0.0393124;-9.816268;
1562328525;594918;1562328525;594929;1562328524;657403;-0.4305897;-0.04268663;-9.819242;
1562328525;638290;1562328525;638310;1562328524;662403;-0.4269129;-0.05235292;-9.829523;
1562328525;638374;1562328525;638393;1562328524;667403;-0.4182819;-0.04305524;-9.828609;
1562328525;638444;1562328525;638462;1562328524;672403;-0.4160796;-0.0606554;-9.818265;
1562328525;680737;1562328525;680746;1562328524;677403;-0.4165348;-0.06031001;-9.819418;
1562328525;680794;1562328525;680805;1562328524;682403;-0.3660196;-0.06264093;-9.787984;
1562328525;680842;1562328525;680854;1562328524;687403;-0.369824;-0.06036737;-9.780643;
1562328525;680891;1562328525;680902;1562328524;692403;-0.3864267;-0.0688217;-9.804656;
1562328525;680939;1562328525;680951;1562328524;697403;-0.4151992;-0.07335284;-9.821927;
1562328525;680990;1562328525;681001;1562328524;702403;-0.4157834;-0.06760522;-9.838198;
1562328525;724360;1562328525;724376;1562328524;707403;-0.412096;-0.07067042;-9.847013;
1562328525;724436;1562328525;724456;1562328524;712403;-0.4362148;-0.05699681;-9.8426;
1562328525;724521;1562328525;724542;1562328524;717403;-0.4407946;-0.04764323;-9.831203;
1562328525;724614;1562328525;724638;1562328524;722403;-0.42916;-0.04325993;-9.833697;
1562328525;766914;1562328525;766923;1562328524;727403;-0.4235578;-0.04965504;-9.827516;
1562328525;766958;1562328525;766967;1562328524;732403;-0.4405921;-0.04865234;-9.844758;
1562328525;767002;1562328525;767012;1562328524;737403;-0.4385178;-0.05052348;-9.828311;
1562328525;767049;1562328525;767059;1562328524;742403;-0.4190016;-0.05655121;-9.813828;
1562328525;767093;1562328525;767103;1562328524;747403;-0.4134622;-0.05585278;-9.806261;
1562328525;767145;1562328525;767154;1562328524;752403;-0.4135412;-0.06189733;-9.782679;
1562328525;810456;1562328525;810464;1562328524;757403;-0.4117425;-0.05613861;-9.788705;
1562328525;810506;1562328525;810514;1562328524;762403;-0.4137344;-0.05918024;-9.782014;
1562328525;810539;1562328525;810546;1562328524;767403;-0.4057679;-0.05206846;-9.785439;
1562328525;810573;1562328525;810580;1562328524;772403;-0.4118797;-0.05573248;-9.772314;
1562328525;852869;1562328525;852889;1562328524;777403;-0.4102201;-0.04372996;-9.772538;
1562328525;852950;1562328525;852969;1562328524;782403;-0.4146997;-0.04131037;-9.77018;
1562328525;853026;1562328525;853046;1562328524;787403;-0.4243376;-0.02981601;-9.782358;
1562328525;853101;1562328525;853121;1562328524;792403;-0.426545;-0.03358122;-9.800242;
1562328525;853176;1562328525;853196;1562328524;797403;-0.4192157;-0.03344085;-9.805761;
1562328525;896521;1562328525;896529;1562328524;802403;-0.4185434;-0.03147525;-9.796692;
1562328525;896555;1562328525;896562;1562328524;807403;-0.4170939;-0.02052158;-9.801553;
1562328525;896585;1562328525;896593;1562328524;812403;-0.4237907;-0.02418464;-9.805305;
1562328525;896619;1562328525;896627;1562328524;817403;-0.418137;-0.02757139;-9.808764;
1562328525;938904;1562328525;938924;1562328524;822403;-0.4043848;-0.03318253;-9.797678;
1562328525;938976;1562328525;938995;1562328524;827403;-0.4058872;-0.03230038;-9.789402;
1562328525;939046;1562328525;939065;1562328524;832403;-0.4078124;-0.03635424;-9.805562;
