sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSpeed;
1562328535;978748;1562328535;978756;1562328535;978672;0.1787933;
1562328536;18881;1562328536;18890;1562328536;18842;0.1787933;
1562328536;59006;1562328536;59017;1562328536;58974;0.1785583;
1562328536;99132;1562328536;99143;1562328536;99099;0.1785583;
1562328536;139300;1562328536;139314;1562328536;139225;0.1785583;
1562328536;179507;1562328536;179520;1562328536;179423;0.1795521;
1562328536;219691;1562328536;219702;1562328536;219618;0.1795521;
1562328536;259852;1562328536;259860;1562328536;259793;0.1797579;
1562328536;300025;1562328536;300043;1562328536;299949;0.1797579;
1562328536;340196;1562328536;340207;1562328536;340156;0.1795035;
1562328536;380379;1562328536;380388;1562328536;380321;0.1795035;
1562328536;420554;1562328536;420567;1562328536;420484;0.1814754;
1562328536;460708;1562328536;460721;1562328536;460660;0.1814754;
1562328536;500860;1562328536;500869;1562328536;500824;0.1814754;
1562328536;540990;1562328536;541001;1562328536;540951;0.1817448;
1562328536;581150;1562328536;581158;1562328536;581096;0.1817448;
1562328536;621272;1562328536;621280;1562328536;621239;0.1824322;
1562328536;661402;1562328536;661421;1562328536;661368;0.1824322;
1562328536;701571;1562328536;701579;1562328536;701522;0.1824322;
1562328536;741719;1562328536;741727;1562328536;741665;0.184956;
1562328536;781880;1562328536;781889;1562328536;781814;0.184956;
1562328536;822031;1562328536;822040;1562328536;821977;0.183813;
1562328536;862169;1562328536;862178;1562328536;862123;0.183813;
1562328536;902329;1562328536;902342;1562328536;902262;0.1850502;
1562328536;942476;1562328536;942488;1562328536;942435;0.1850502;
1562328536;982657;1562328536;982666;1562328536;982583;0.186255;
1562328537;22801;1562328537;22810;1562328537;22750;0.186255;
1562328537;62925;1562328537;62934;1562328537;62891;0.1855354;
1562328537;103049;1562328537;103058;1562328537;103013;0.185162;
1562328537;143195;1562328537;143207;1562328537;143142;0.185162;
1562328537;183380;1562328537;183393;1562328537;183304;0.1856355;
1562328537;223522;1562328537;223533;1562328537;223489;0.1856355;
1562328537;263650;1562328537;263659;1562328537;263616;0.1856355;
1562328537;303857;1562328537;303873;1562328537;303748;0.1856355;
1562328537;344074;1562328537;344083;1562328537;343984;0.1856355;
1562328537;384291;1562328537;384316;1562328537;384197;0.1856355;
1562328537;424523;1562328537;424543;1562328537;424434;0.1856355;
1562328537;464729;1562328537;464748;1562328537;464664;0.1883174;
1562328537;504928;1562328537;504947;1562328537;504866;0.1883174;
1562328537;545157;1562328537;545176;1562328537;545071;0.1897744;
1562328537;585389;1562328537;585404;1562328537;585300;0.1897744;
1562328537;625595;1562328537;625611;1562328537;625519;0.1896276;
1562328537;665774;1562328537;665790;1562328537;665726;0.1896276;
1562328537;705941;1562328537;705950;1562328537;705903;0.1896741;
1562328537;746102;1562328537;746115;1562328537;746036;0.1896741;
1562328537;786251;1562328537;786268;1562328537;786203;0.1899575;
1562328537;826423;1562328537;826438;1562328537;826386;0.1899575;
1562328537;866572;1562328537;866584;1562328537;866533;0.1905688;
1562328537;906752;1562328537;906766;1562328537;906678;0.1905688;
1562328537;946929;1562328537;946942;1562328537;946865;0.1905688;
1562328537;987110;1562328537;987131;1562328537;987031;0.1906819;
1562328538;27353;1562328538;27371;1562328538;27274;0.1906819;
1562328538;67553;1562328538;67575;1562328538;67482;0.1913212;
1562328538;107733;1562328538;107750;1562328538;107692;0.1913212;
1562328538;147947;1562328538;147966;1562328538;147851;0.1917914;
1562328538;188154;1562328538;188178;1562328538;188082;0.1917914;
1562328538;228367;1562328538;228388;1562328538;228296;0.1935468;
1562328538;268555;1562328538;268577;1562328538;268506;0.1933974;
1562328538;308750;1562328538;308772;1562328538;308688;0.1933974;
1562328538;348954;1562328538;348976;1562328538;348884;0.1935094;
1562328538;389143;1562328538;389165;1562328538;389089;0.1935094;
1562328538;429313;1562328538;429334;1562328538;429274;0.1941982;
1562328538;469465;1562328538;469476;1562328538;469429;0.1941982;
1562328538;509612;1562328538;509628;1562328538;509571;0.1943881;
1562328538;549807;1562328538;549837;1562328538;549736;0.1943881;
1562328538;590038;1562328538;590061;1562328538;589950;0.1943881;
1562328538;630270;1562328538;630291;1562328538;630200;0.1957961;
1562328538;670500;1562328538;670515;1562328538;670417;0.1960637;
1562328538;710709;1562328538;710727;1562328538;710621;0.1960637;
1562328538;750925;1562328538;750947;1562328538;750842;0.1963888;
1562328538;791136;1562328538;791157;1562328538;791058;0.1963888;
1562328538;831322;1562328538;831352;1562328538;831266;0.1969017;
1562328538;871516;1562328538;871538;1562328538;871462;0.1969017;
1562328538;911750;1562328538;911771;1562328538;911667;0.1969017;
1562328538;951961;1562328538;951984;1562328538;951888;0.199108;
1562328538;992155;1562328538;992177;1562328538;992103;0.199108;
1562328539;32328;1562328539;32356;1562328539;32286;0.1991645;
1562328539;72507;1562328539;72527;1562328539;72465;0.1989687;
1562328539;112673;1562328539;112694;1562328539;112636;0.1989687;
1562328539;152895;1562328539;152915;1562328539;152803;0.1989687;
1562328539;193099;1562328539;193121;1562328539;193031;0.1993967;
1562328539;233300;1562328539;233312;1562328539;233234;0.1993967;
1562328539;273492;1562328539;273512;1562328539;273410;0.1999026;
1562328539;313683;1562328539;313696;1562328539;313621;0.1999026;
1562328539;353889;1562328539;353910;1562328539;353816;0.2005052;
1562328539;394093;1562328539;394106;1562328539;394024;0.2005052;
1562328539;434264;1562328539;434279;1562328539;434217;0.2008706;
1562328539;474412;1562328539;474426;1562328539;474373;0.2008706;
1562328539;514587;1562328539;514602;1562328539;514526;0.2015018;
1562328539;554772;1562328539;554795;1562328539;554704;0.2015018;
1562328539;594947;1562328539;594964;1562328539;594907;0.2015018;
1562328539;635118;1562328539;635140;1562328539;635067;0.2025664;
1562328539;675294;1562328539;675312;1562328539;675253;0.2025664;
1562328539;715450;1562328539;715473;1562328539;715410;0.2029013;
1562328539;755670;1562328539;755691;1562328539;755589;0.2029013;
1562328539;795883;1562328539;795905;1562328539;795811;0.2029013;
1562328539;836085;1562328539;836107;1562328539;836017;0.2032161;
1562328539;876308;1562328539;876329;1562328539;876219;0.2033593;
1562328539;916532;1562328539;916551;1562328539;916442;0.2033593;
1562328539;956742;1562328539;956781;1562328539;956664;0.203606;
1562328539;996965;1562328539;996986;1562328539;996898;0.203606;
1562328540;37170;1562328540;37194;1562328540;37107;0.203606;
1562328540;77411;1562328540;77427;1562328540;77331;0.2043075;
1562328540;117605;1562328540;117618;1562328540;117534;0.2043075;
1562328540;157767;1562328540;157783;1562328540;157725;0.2051562;
1562328540;197923;1562328540;197936;1562328540;197879;0.2051562;
1562328540;238075;1562328540;238092;1562328540;238034;0.2051976;
1562328540;278259;1562328540;278281;1562328540;278201;0.2051976;
1562328540;318448;1562328540;318469;1562328540;318398;0.2068823;
1562328540;358653;1562328540;358666;1562328540;358580;0.2068823;
1562328540;398832;1562328540;398845;1562328540;398769;0.2068823;
1562328540;439015;1562328540;439035;1562328540;438948;0.2068584;
1562328540;479226;1562328540;479250;1562328540;479150;0.2068584;
1562328540;519439;1562328540;519450;1562328540;519368;0.2072296;
1562328540;559614;1562328540;559626;1562328540;559550;0.2072296;
1562328540;599792;1562328540;599811;1562328540;599728;0.2072296;
1562328540;639985;1562328540;640004;1562328540;639925;0.2072296;
1562328540;680198;1562328540;680217;1562328540;680121;0.2101897;
1562328540;720385;1562328540;720412;1562328540;720330;0.2101897;
1562328540;760566;1562328540;760586;1562328540;760524;0.2106152;
1562328540;800731;1562328540;800747;1562328540;800694;0.2106821;
1562328540;840894;1562328540;840922;1562328540;840845;0.2106821;
1562328540;881087;1562328540;881105;1562328540;881034;0.2109554;
1562328540;921259;1562328540;921272;1562328540;921213;0.2109554;
1562328540;961428;1562328540;961446;1562328540;961367;0.2109554;
1562328541;1603;1562328541;1622;1562328541;1557;0.2114059;
1562328541;41789;1562328541;41808;1562328541;41740;0.2114059;
